scenario,rows,coverage,treatment_effect_hat_mean,bias,rmse,ci_length_mean,n_selected_outcome_controls_mean,n_selected_treatment_controls_mean,outcome_lasso_penalty_mean,treatment_lasso_penalty_mean,standard_error_HC3_mean
large_corr_0_5,500,0.846,2.144281495355869,0.14428149535586873,0.17267699843984957,inf,384.0,384.0,,,inf
medium_corr_0_2,500,0.938,2.19144376342308,0.19144376342307953,0.21545945471020694,inf,240.0,240.0,,,inf
medium_corr_0_0,500,0.81,2.210952508334109,0.2109525083341087,0.2297768931077026,inf,240.0,240.0,,,inf
medium_corr_0_5,500,0.912,2.1464394188599076,0.14643941885990774,0.1870311575489237,inf,240.0,240.0,,,inf
large_corr_0_2,500,0.878,2.191265240321961,0.19126524032196127,0.2077966793165498,inf,384.0,384.0,,,inf
classical_low_dim,500,0.966,2.0004035073651454,0.0004035073651454022,0.07227851991058933,0.3109697356436709,20.0,20.0,,,0.07933047191085152
large_corr_0_0,500,0.668,2.2138014497112803,0.2138014497112801,0.22659054254123312,inf,384.0,384.0,,,inf
near_p_equals_n,500,1.0,1.9913037769201012,-0.008696223079898853,0.22589205801694948,3.188896296513971,180.0,180.0,,,0.8135089016093098
p_equals_n,500,0.996,2.065322059062446,0.06532205906244622,0.9486619762899541,inf,200.0,200.0,,,inf
