treatment_effect_hat,standard_error_HC3,ci_lower,ci_upper,ci_length,covered,n_selected_outcome_controls,n_selected_treatment_controls,lasso_penalty,outcome_lasso_penalty,treatment_lasso_penalty
2.1613121690125925,inf,-inf,inf,inf,1,384,384,,,
2.070741881593603,inf,-inf,inf,inf,1,384,384,,,
2.2044106795490936,inf,-inf,inf,inf,1,384,384,,,
2.1294822005797163,inf,-inf,inf,inf,1,384,384,,,
2.125236846246589,inf,-inf,inf,inf,1,384,384,,,
2.2623952930097624,,,,,0,384,384,,,
2.2893430894742566,,,,,0,384,384,,,
2.1395022624443136,inf,-inf,inf,inf,1,384,384,,,
2.1183132823582067,inf,-inf,inf,inf,1,384,384,,,
2.210506802952379,,,,,0,384,384,,,
2.2483770553306632,inf,-inf,inf,inf,1,384,384,,,
2.2504252099373323,,,,,0,384,384,,,
2.3292928435033717,inf,-inf,inf,inf,1,384,384,,,
2.1846308724563146,,,,,0,384,384,,,
2.178058010422779,inf,-inf,inf,inf,1,384,384,,,
2.1856905124442667,,,,,0,384,384,,,
2.2891408579423675,inf,-inf,inf,inf,1,384,384,,,
2.321543407068842,inf,-inf,inf,inf,1,384,384,,,
2.264132542866253,,,,,0,384,384,,,
2.2131909568618204,inf,-inf,inf,inf,1,384,384,,,
2.1403062303115425,,,,,0,384,384,,,
2.124306925904504,inf,-inf,inf,inf,1,384,384,,,
2.298118719010292,inf,-inf,inf,inf,1,384,384,,,
2.262282790143587,inf,-inf,inf,inf,1,384,384,,,
2.3089478265562677,inf,-inf,inf,inf,1,384,384,,,
2.2055429704010034,inf,-inf,inf,inf,1,384,384,,,
2.3205141178230146,inf,-inf,inf,inf,1,384,384,,,
2.223284721062967,,,,,0,384,384,,,
2.3015935156536775,,,,,0,384,384,,,
2.26819596052581,inf,-inf,inf,inf,1,384,384,,,
2.224524602738612,inf,-inf,inf,inf,1,384,384,,,
2.2017318293291526,inf,-inf,inf,inf,1,384,384,,,
2.3338058999518365,,,,,0,384,384,,,
2.1416895409039265,inf,-inf,inf,inf,1,384,384,,,
2.3194272294073723,inf,-inf,inf,inf,1,384,384,,,
2.105854844531893,inf,-inf,inf,inf,1,384,384,,,
2.1926530999249167,inf,-inf,inf,inf,1,384,384,,,
2.074427970804865,inf,-inf,inf,inf,1,384,384,,,
2.182315889894694,inf,-inf,inf,inf,1,384,384,,,
2.335302130336741,inf,-inf,inf,inf,1,384,384,,,
2.1485502311179863,inf,-inf,inf,inf,1,384,384,,,
2.3094114257347402,,,,,0,384,384,,,
2.356685891413723,inf,-inf,inf,inf,1,384,384,,,
2.2958535886608833,inf,-inf,inf,inf,1,384,384,,,
2.3416176484559643,inf,-inf,inf,inf,1,384,384,,,
2.2549971451420996,,,,,0,384,384,,,
2.3138952875384198,inf,-inf,inf,inf,1,384,384,,,
2.341773216699723,inf,-inf,inf,inf,1,384,384,,,
2.1507769526702374,inf,-inf,inf,inf,1,384,384,,,
2.2769433414607096,inf,-inf,inf,inf,1,384,384,,,
2.2779779585418454,inf,-inf,inf,inf,1,384,384,,,
2.2455011179810453,,,,,0,384,384,,,
2.223202699929672,,,,,0,384,384,,,
2.0551371244435255,,,,,0,384,384,,,
2.201668983650687,inf,-inf,inf,inf,1,384,384,,,
2.341620575800269,,,,,0,384,384,,,
2.212982884511801,inf,-inf,inf,inf,1,384,384,,,
2.3059003678176837,inf,-inf,inf,inf,1,384,384,,,
2.1975327335004904,,,,,0,384,384,,,
2.1455987551574913,,,,,0,384,384,,,
2.353903806243485,,,,,0,384,384,,,
2.1204141401331906,inf,-inf,inf,inf,1,384,384,,,
2.1534889489115274,inf,-inf,inf,inf,1,384,384,,,
2.1592135530174374,inf,-inf,inf,inf,1,384,384,,,
2.311896337742266,inf,-inf,inf,inf,1,384,384,,,
2.237681551564149,inf,-inf,inf,inf,1,384,384,,,
2.1740849538079723,inf,-inf,inf,inf,1,384,384,,,
2.1359729749865632,inf,-inf,inf,inf,1,384,384,,,
2.142490914179799,inf,-inf,inf,inf,1,384,384,,,
2.282630473892703,inf,-inf,inf,inf,1,384,384,,,
2.1994941145416025,,,,,0,384,384,,,
2.2177576866672224,inf,-inf,inf,inf,1,384,384,,,
2.232142365060181,inf,-inf,inf,inf,1,384,384,,,
2.3009289054525675,inf,-inf,inf,inf,1,384,384,,,
2.2557730332088863,,,,,0,384,384,,,
2.2363413310916984,inf,-inf,inf,inf,1,384,384,,,
2.145135776174185,inf,-inf,inf,inf,1,384,384,,,
2.079929658872787,,,,,0,384,384,,,
2.2822449620205614,inf,-inf,inf,inf,1,384,384,,,
2.241540627946784,,,,,0,384,384,,,
2.1393879719609425,,,,,0,384,384,,,
2.1019022512050567,,,,,0,384,384,,,
2.1923605461110887,,,,,0,384,384,,,
2.2322799198920262,inf,-inf,inf,inf,1,384,384,,,
2.3225404964180583,inf,-inf,inf,inf,1,384,384,,,
2.1849133151545845,inf,-inf,inf,inf,1,384,384,,,
2.198349109052368,inf,-inf,inf,inf,1,384,384,,,
2.345442782064609,,,,,0,384,384,,,
2.313515632861444,inf,-inf,inf,inf,1,384,384,,,
2.268202117345303,inf,-inf,inf,inf,1,384,384,,,
2.1225673257741082,,,,,0,384,384,,,
2.1083216572395878,,,,,0,384,384,,,
2.2725760467582297,,,,,0,384,384,,,
2.1353148825455115,inf,-inf,inf,inf,1,384,384,,,
2.146876844917331,inf,-inf,inf,inf,1,384,384,,,
2.3503608719656945,inf,-inf,inf,inf,1,384,384,,,
2.183317369267697,inf,-inf,inf,inf,1,384,384,,,
2.1862635761950946,,,,,0,384,384,,,
2.228077762065659,,,,,0,384,384,,,
2.0395540150846982,,,,,0,384,384,,,
2.239031943060627,inf,-inf,inf,inf,1,384,384,,,
2.2731979826439805,inf,-inf,inf,inf,1,384,384,,,
2.216267055660222,inf,-inf,inf,inf,1,384,384,,,
2.108452201363876,,,,,0,384,384,,,
2.2046038001273507,,,,,0,384,384,,,
2.3670842232750204,inf,-inf,inf,inf,1,384,384,,,
2.1609955575816215,,,,,0,384,384,,,
2.3778062609579247,inf,-inf,inf,inf,1,384,384,,,
2.1588645133262285,inf,-inf,inf,inf,1,384,384,,,
2.210086258960989,,,,,0,384,384,,,
2.308719348976565,inf,-inf,inf,inf,1,384,384,,,
2.245433083694449,inf,-inf,inf,inf,1,384,384,,,
2.277770249810203,,,,,0,384,384,,,
2.0855834691752735,inf,-inf,inf,inf,1,384,384,,,
2.1714268138267308,,,,,0,384,384,,,
2.1532911413106257,inf,-inf,inf,inf,1,384,384,,,
2.3451537733880023,inf,-inf,inf,inf,1,384,384,,,
2.216198971765945,inf,-inf,inf,inf,1,384,384,,,
2.3184045617283653,,,,,0,384,384,,,
2.287466834756491,,,,,0,384,384,,,
2.29818906106103,inf,-inf,inf,inf,1,384,384,,,
2.2300018604834984,,,,,0,384,384,,,
2.331944088677236,inf,-inf,inf,inf,1,384,384,,,
2.085745424793756,,,,,0,384,384,,,
2.1580310397260507,,,,,0,384,384,,,
2.060487551977425,,,,,0,384,384,,,
2.2458054925130058,inf,-inf,inf,inf,1,384,384,,,
2.0792938542007855,inf,-inf,inf,inf,1,384,384,,,
2.1535033875924166,inf,-inf,inf,inf,1,384,384,,,
2.1302429908681777,,,,,0,384,384,,,
2.191384401414668,,,,,0,384,384,,,
2.267896201465719,inf,-inf,inf,inf,1,384,384,,,
2.2064070773641475,,,,,0,384,384,,,
2.3223541625568584,inf,-inf,inf,inf,1,384,384,,,
2.260333265531859,inf,-inf,inf,inf,1,384,384,,,
2.2241659946028642,,,,,0,384,384,,,
2.1729801650073837,inf,-inf,inf,inf,1,384,384,,,
2.286187916355831,inf,-inf,inf,inf,1,384,384,,,
2.3719656691577873,inf,-inf,inf,inf,1,384,384,,,
2.128468854724908,,,,,0,384,384,,,
2.1660887441894765,inf,-inf,inf,inf,1,384,384,,,
2.233452262565276,,,,,0,384,384,,,
2.255127799920422,inf,-inf,inf,inf,1,384,384,,,
2.1802172869090226,inf,-inf,inf,inf,1,384,384,,,
2.28058261400687,,,,,0,384,384,,,
2.172754454964628,inf,-inf,inf,inf,1,384,384,,,
2.247394303254393,inf,-inf,inf,inf,1,384,384,,,
2.256852680568761,,,,,0,384,384,,,
2.338128650380515,inf,-inf,inf,inf,1,384,384,,,
2.2140956949451516,inf,-inf,inf,inf,1,384,384,,,
2.1941967160141194,inf,-inf,inf,inf,1,384,384,,,
2.1212732225428903,,,,,0,384,384,,,
2.1961648385525505,inf,-inf,inf,inf,1,384,384,,,
2.1460421575295836,,,,,0,384,384,,,
2.2021901337469156,,,,,0,384,384,,,
2.162898823730725,,,,,0,384,384,,,
2.1517480690561017,inf,-inf,inf,inf,1,384,384,,,
2.1919105803418186,inf,-inf,inf,inf,1,384,384,,,
2.283617026933304,inf,-inf,inf,inf,1,384,384,,,
2.3008109442141405,inf,-inf,inf,inf,1,384,384,,,
2.1686495524664213,inf,-inf,inf,inf,1,384,384,,,
2.2579496845402454,inf,-inf,inf,inf,1,384,384,,,
2.1074924848550194,,,,,0,384,384,,,
2.1082937479792863,inf,-inf,inf,inf,1,384,384,,,
2.2085662088904785,,,,,0,384,384,,,
2.2162664558277747,inf,-inf,inf,inf,1,384,384,,,
2.187615432671704,inf,-inf,inf,inf,1,384,384,,,
2.2355697473768883,,,,,0,384,384,,,
2.3047780534809115,inf,-inf,inf,inf,1,384,384,,,
2.170398272515652,inf,-inf,inf,inf,1,384,384,,,
2.194524528799055,inf,-inf,inf,inf,1,384,384,,,
2.1356998435582035,inf,-inf,inf,inf,1,384,384,,,
2.105627702813021,,,,,0,384,384,,,
2.1508273001243188,inf,-inf,inf,inf,1,384,384,,,
2.278402678013191,inf,-inf,inf,inf,1,384,384,,,
2.248362427591685,inf,-inf,inf,inf,1,384,384,,,
2.250479437782835,,,,,0,384,384,,,
2.1768366763552427,inf,-inf,inf,inf,1,384,384,,,
2.270223128431182,inf,-inf,inf,inf,1,384,384,,,
2.201643430914788,inf,-inf,inf,inf,1,384,384,,,
2.1997747237463754,inf,-inf,inf,inf,1,384,384,,,
2.3481203211187394,inf,-inf,inf,inf,1,384,384,,,
2.18195812742869,,,,,0,384,384,,,
2.2315266061590115,,,,,0,384,384,,,
2.211254928668828,,,,,0,384,384,,,
2.2156857040052302,inf,-inf,inf,inf,1,384,384,,,
2.1940397804346365,inf,-inf,inf,inf,1,384,384,,,
2.3089155371652685,,,,,0,384,384,,,
2.221724633818654,,,,,0,384,384,,,
2.1280132508522316,inf,-inf,inf,inf,1,384,384,,,
2.2144370325668703,inf,-inf,inf,inf,1,384,384,,,
2.23954548004714,inf,-inf,inf,inf,1,384,384,,,
2.271811276150957,inf,-inf,inf,inf,1,384,384,,,
2.3076548820571006,inf,-inf,inf,inf,1,384,384,,,
2.2738661633964794,inf,-inf,inf,inf,1,384,384,,,
2.1723757719978236,inf,-inf,inf,inf,1,384,384,,,
2.141808708583353,inf,-inf,inf,inf,1,384,384,,,
2.3245734499145634,inf,-inf,inf,inf,1,384,384,,,
2.2059668708882647,,,,,0,384,384,,,
2.315822420760389,inf,-inf,inf,inf,1,384,384,,,
2.2449081824427557,inf,-inf,inf,inf,1,384,384,,,
2.2950477185299265,,,,,0,384,384,,,
2.2462948411880315,,,,,0,384,384,,,
2.2552917901845966,inf,-inf,inf,inf,1,384,384,,,
2.2439004626063848,inf,-inf,inf,inf,1,384,384,,,
2.164013469120137,,,,,0,384,384,,,
2.2255659081954544,,,,,0,384,384,,,
2.276814602042073,inf,-inf,inf,inf,1,384,384,,,
2.3633477246147585,inf,-inf,inf,inf,1,384,384,,,
2.305315011001144,inf,-inf,inf,inf,1,384,384,,,
2.1664096354608735,,,,,0,384,384,,,
2.2418105475204033,inf,-inf,inf,inf,1,384,384,,,
2.2450737401659016,inf,-inf,inf,inf,1,384,384,,,
2.214832046734138,,,,,0,384,384,,,
2.060253744697335,inf,-inf,inf,inf,1,384,384,,,
2.2309408333346115,,,,,0,384,384,,,
2.2535597093868907,,,,,0,384,384,,,
2.2449063812703303,inf,-inf,inf,inf,1,384,384,,,
2.2666941502782527,inf,-inf,inf,inf,1,384,384,,,
2.279716180802183,,,,,0,384,384,,,
2.2027347809158537,inf,-inf,inf,inf,1,384,384,,,
2.2243184158031646,,,,,0,384,384,,,
2.316546042844263,inf,-inf,inf,inf,1,384,384,,,
2.073782436034448,inf,-inf,inf,inf,1,384,384,,,
2.1879332349150955,inf,-inf,inf,inf,1,384,384,,,
2.166515658086854,inf,-inf,inf,inf,1,384,384,,,
2.269786582559254,inf,-inf,inf,inf,1,384,384,,,
2.116005498833339,inf,-inf,inf,inf,1,384,384,,,
2.1221056915197094,,,,,0,384,384,,,
2.15400368105695,inf,-inf,inf,inf,1,384,384,,,
2.14779593437831,,,,,0,384,384,,,
2.2161901066743255,inf,-inf,inf,inf,1,384,384,,,
2.2267054609956656,inf,-inf,inf,inf,1,384,384,,,
2.2270258683267845,,,,,0,384,384,,,
2.1802241668192193,,,,,0,384,384,,,
2.2880794781568383,,,,,0,384,384,,,
2.1534580466526805,inf,-inf,inf,inf,1,384,384,,,
2.351677613508391,inf,-inf,inf,inf,1,384,384,,,
2.222658404372166,inf,-inf,inf,inf,1,384,384,,,
