treatment_effect_hat,standard_error_HC3,ci_lower,ci_upper,ci_length,covered,n_selected_outcome_controls,n_selected_treatment_controls,lasso_penalty,outcome_lasso_penalty,treatment_lasso_penalty
2.306333339571662,inf,-inf,inf,inf,1,240,240,,,
2.1081190229325757,inf,-inf,inf,inf,1,240,240,,,
2.2175004251032955,inf,-inf,inf,inf,1,240,240,,,
2.193321816752042,inf,-inf,inf,inf,1,240,240,,,
2.205242547681669,inf,-inf,inf,inf,1,240,240,,,
2.0213197757493964,inf,-inf,inf,inf,1,240,240,,,
2.1381127285407002,inf,-inf,inf,inf,1,240,240,,,
2.1233039058281418,inf,-inf,inf,inf,1,240,240,,,
2.197632122139762,inf,-inf,inf,inf,1,240,240,,,
2.2170752812909233,inf,-inf,inf,inf,1,240,240,,,
2.1479001983866626,inf,-inf,inf,inf,1,240,240,,,
2.0634704345042754,inf,-inf,inf,inf,1,240,240,,,
2.124698849944464,inf,-inf,inf,inf,1,240,240,,,
2.1872453690598004,inf,-inf,inf,inf,1,240,240,,,
2.012123783787073,inf,-inf,inf,inf,1,240,240,,,
2.027486184422594,inf,-inf,inf,inf,1,240,240,,,
2.335593972452292,inf,-inf,inf,inf,1,240,240,,,
1.9120534541275889,inf,-inf,inf,inf,1,240,240,,,
1.8852684769419783,inf,-inf,inf,inf,1,240,240,,,
1.906516913364548,inf,-inf,inf,inf,1,240,240,,,
2.3746698475606545,,,,,0,240,240,,,
2.2831132931381526,inf,-inf,inf,inf,1,240,240,,,
2.0193516758925423,,,,,0,240,240,,,
2.1197124686470943,inf,-inf,inf,inf,1,240,240,,,
2.1984266826307284,,,,,0,240,240,,,
2.3102117079263405,inf,-inf,inf,inf,1,240,240,,,
2.2178418592439564,inf,-inf,inf,inf,1,240,240,,,
2.223786409415542,inf,-inf,inf,inf,1,240,240,,,
2.1630607577539664,inf,-inf,inf,inf,1,240,240,,,
2.1213437857763866,inf,-inf,inf,inf,1,240,240,,,
2.005086275024274,inf,-inf,inf,inf,1,240,240,,,
2.1951493992103854,inf,-inf,inf,inf,1,240,240,,,
1.952381028247538,inf,-inf,inf,inf,1,240,240,,,
2.1665048447789044,inf,-inf,inf,inf,1,240,240,,,
2.1502604226085382,inf,-inf,inf,inf,1,240,240,,,
2.118253859745862,inf,-inf,inf,inf,1,240,240,,,
2.0386491152981874,inf,-inf,inf,inf,1,240,240,,,
2.214481637868311,inf,-inf,inf,inf,1,240,240,,,
2.2619020995296055,inf,-inf,inf,inf,1,240,240,,,
2.264195222514777,inf,-inf,inf,inf,1,240,240,,,
2.349178392547278,inf,-inf,inf,inf,1,240,240,,,
2.243323407652515,inf,-inf,inf,inf,1,240,240,,,
2.266021178464789,inf,-inf,inf,inf,1,240,240,,,
2.124262852643877,inf,-inf,inf,inf,1,240,240,,,
2.234039214412051,,,,,0,240,240,,,
2.0394873656212402,inf,-inf,inf,inf,1,240,240,,,
2.2829833855746844,inf,-inf,inf,inf,1,240,240,,,
2.1848220824567495,,,,,0,240,240,,,
2.0738384606101605,inf,-inf,inf,inf,1,240,240,,,
2.2798824164996723,inf,-inf,inf,inf,1,240,240,,,
2.1363378910241004,inf,-inf,inf,inf,1,240,240,,,
2.1336730130568964,inf,-inf,inf,inf,1,240,240,,,
1.8384916117361194,inf,-inf,inf,inf,1,240,240,,,
2.232364561116696,,,,,0,240,240,,,
2.2788635617254656,inf,-inf,inf,inf,1,240,240,,,
2.259443553947412,inf,-inf,inf,inf,1,240,240,,,
2.1401325248635708,,,,,0,240,240,,,
2.2427512895633903,inf,-inf,inf,inf,1,240,240,,,
2.021445340290963,inf,-inf,inf,inf,1,240,240,,,
2.1099605421348904,inf,-inf,inf,inf,1,240,240,,,
2.042997331581701,inf,-inf,inf,inf,1,240,240,,,
2.202736659946502,inf,-inf,inf,inf,1,240,240,,,
2.274150132655051,inf,-inf,inf,inf,1,240,240,,,
2.0590686275431644,inf,-inf,inf,inf,1,240,240,,,
2.0663386860748503,inf,-inf,inf,inf,1,240,240,,,
2.0221115090043473,inf,-inf,inf,inf,1,240,240,,,
2.007283227336422,inf,-inf,inf,inf,1,240,240,,,
2.1679153606605253,inf,-inf,inf,inf,1,240,240,,,
2.341949625744611,,,,,0,240,240,,,
2.2118240141446086,inf,-inf,inf,inf,1,240,240,,,
2.0399471052335256,inf,-inf,inf,inf,1,240,240,,,
2.285296086419324,inf,-inf,inf,inf,1,240,240,,,
2.0729410186025725,inf,-inf,inf,inf,1,240,240,,,
2.143291778974623,inf,-inf,inf,inf,1,240,240,,,
1.992409056800485,inf,-inf,inf,inf,1,240,240,,,
2.347863603669139,,,,,0,240,240,,,
2.0442476628633397,inf,-inf,inf,inf,1,240,240,,,
2.011228362864144,inf,-inf,inf,inf,1,240,240,,,
2.19538716098567,inf,-inf,inf,inf,1,240,240,,,
1.9203258252863817,inf,-inf,inf,inf,1,240,240,,,
2.186479440215682,inf,-inf,inf,inf,1,240,240,,,
2.0777329397461184,inf,-inf,inf,inf,1,240,240,,,
2.1524410402141907,,,,,0,240,240,,,
1.9707183954531364,inf,-inf,inf,inf,1,240,240,,,
2.2067081234142742,,,,,0,240,240,,,
2.1929725482034734,inf,-inf,inf,inf,1,240,240,,,
2.184798389177861,inf,-inf,inf,inf,1,240,240,,,
2.328310779012358,,,,,0,240,240,,,
2.011638216112352,inf,-inf,inf,inf,1,240,240,,,
2.2466406891699298,inf,-inf,inf,inf,1,240,240,,,
2.0582769185548795,inf,-inf,inf,inf,1,240,240,,,
1.9993107990694932,inf,-inf,inf,inf,1,240,240,,,
2.305020905930913,inf,-inf,inf,inf,1,240,240,,,
2.069209897386044,inf,-inf,inf,inf,1,240,240,,,
2.1384887452820625,inf,-inf,inf,inf,1,240,240,,,
2.0753398852305525,inf,-inf,inf,inf,1,240,240,,,
2.1240365876788694,inf,-inf,inf,inf,1,240,240,,,
2.3100248636730445,inf,-inf,inf,inf,1,240,240,,,
2.0569175782648994,inf,-inf,inf,inf,1,240,240,,,
1.9720910302334222,inf,-inf,inf,inf,1,240,240,,,
2.2754042200138187,inf,-inf,inf,inf,1,240,240,,,
2.1530439374154535,inf,-inf,inf,inf,1,240,240,,,
2.268841611388174,inf,-inf,inf,inf,1,240,240,,,
2.389908198493252,inf,-inf,inf,inf,1,240,240,,,
2.133438368094157,inf,-inf,inf,inf,1,240,240,,,
2.37819164679164,inf,-inf,inf,inf,1,240,240,,,
2.1533765997398873,inf,-inf,inf,inf,1,240,240,,,
2.070187458713499,inf,-inf,inf,inf,1,240,240,,,
2.2098401592542265,inf,-inf,inf,inf,1,240,240,,,
2.236561408799046,inf,-inf,inf,inf,1,240,240,,,
2.0104162091304705,inf,-inf,inf,inf,1,240,240,,,
2.3387717352478408,inf,-inf,inf,inf,1,240,240,,,
2.370496067427658,inf,-inf,inf,inf,1,240,240,,,
2.0002740705839552,inf,-inf,inf,inf,1,240,240,,,
2.328899504869933,inf,-inf,inf,inf,1,240,240,,,
2.1401248347890074,inf,-inf,inf,inf,1,240,240,,,
2.2870644815243546,inf,-inf,inf,inf,1,240,240,,,
2.242111318292784,,,,,0,240,240,,,
2.146614764769715,inf,-inf,inf,inf,1,240,240,,,
2.0401311845156407,inf,-inf,inf,inf,1,240,240,,,
1.969378032995076,inf,-inf,inf,inf,1,240,240,,,
2.217722460535789,inf,-inf,inf,inf,1,240,240,,,
2.3003115460271983,inf,-inf,inf,inf,1,240,240,,,
2.14330226874999,inf,-inf,inf,inf,1,240,240,,,
2.2604784692940987,inf,-inf,inf,inf,1,240,240,,,
2.072098532153682,,,,,0,240,240,,,
1.883988599542696,inf,-inf,inf,inf,1,240,240,,,
2.3014342980604194,inf,-inf,inf,inf,1,240,240,,,
2.1328191872866813,inf,-inf,inf,inf,1,240,240,,,
2.0693938761712154,inf,-inf,inf,inf,1,240,240,,,
2.093264910188349,inf,-inf,inf,inf,1,240,240,,,
2.230247975518888,inf,-inf,inf,inf,1,240,240,,,
2.081658659681073,,,,,0,240,240,,,
2.030847548495646,inf,-inf,inf,inf,1,240,240,,,
2.037660065051933,inf,-inf,inf,inf,1,240,240,,,
2.194767087441825,inf,-inf,inf,inf,1,240,240,,,
2.2436619655342716,inf,-inf,inf,inf,1,240,240,,,
2.180929676937253,inf,-inf,inf,inf,1,240,240,,,
2.091472292764412,inf,-inf,inf,inf,1,240,240,,,
2.180329325533015,inf,-inf,inf,inf,1,240,240,,,
1.8130625756338683,inf,-inf,inf,inf,1,240,240,,,
2.1029948767688125,,,,,0,240,240,,,
2.368425273209719,inf,-inf,inf,inf,1,240,240,,,
1.9932692460755226,inf,-inf,inf,inf,1,240,240,,,
2.5098140840461816,inf,-inf,inf,inf,1,240,240,,,
2.25413490947353,inf,-inf,inf,inf,1,240,240,,,
2.222036658507891,inf,-inf,inf,inf,1,240,240,,,
2.327915658985189,inf,-inf,inf,inf,1,240,240,,,
2.202742954314644,inf,-inf,inf,inf,1,240,240,,,
2.050830345606715,inf,-inf,inf,inf,1,240,240,,,
2.014996717142387,inf,-inf,inf,inf,1,240,240,,,
2.0927183733629775,inf,-inf,inf,inf,1,240,240,,,
2.2370099208664462,inf,-inf,inf,inf,1,240,240,,,
2.21439114217164,inf,-inf,inf,inf,1,240,240,,,
2.0974036503278057,inf,-inf,inf,inf,1,240,240,,,
2.249416767323572,,,,,0,240,240,,,
2.2265411118909415,inf,-inf,inf,inf,1,240,240,,,
2.207651603207856,inf,-inf,inf,inf,1,240,240,,,
2.2439939441073298,inf,-inf,inf,inf,1,240,240,,,
1.9692707837900931,inf,-inf,inf,inf,1,240,240,,,
2.221893182491777,inf,-inf,inf,inf,1,240,240,,,
2.288283478898373,inf,-inf,inf,inf,1,240,240,,,
2.1368249050425567,inf,-inf,inf,inf,1,240,240,,,
2.095033359369588,,,,,0,240,240,,,
2.2575388386347583,inf,-inf,inf,inf,1,240,240,,,
2.2586925891079837,inf,-inf,inf,inf,1,240,240,,,
1.9600472781485145,inf,-inf,inf,inf,1,240,240,,,
2.015952651307555,inf,-inf,inf,inf,1,240,240,,,
2.125445553246011,inf,-inf,inf,inf,1,240,240,,,
2.1918529117059435,inf,-inf,inf,inf,1,240,240,,,
2.1665240056905084,inf,-inf,inf,inf,1,240,240,,,
2.193371403082612,inf,-inf,inf,inf,1,240,240,,,
2.18039300672062,inf,-inf,inf,inf,1,240,240,,,
2.092448789613549,inf,-inf,inf,inf,1,240,240,,,
2.285167621500718,inf,-inf,inf,inf,1,240,240,,,
2.4775389612161867,inf,-inf,inf,inf,1,240,240,,,
2.354188438254799,inf,-inf,inf,inf,1,240,240,,,
2.1379147727195837,inf,-inf,inf,inf,1,240,240,,,
2.1827730951482214,inf,-inf,inf,inf,1,240,240,,,
2.343799013941554,inf,-inf,inf,inf,1,240,240,,,
2.1082323027434633,inf,-inf,inf,inf,1,240,240,,,
2.0612699403489123,inf,-inf,inf,inf,1,240,240,,,
2.1117178838989243,inf,-inf,inf,inf,1,240,240,,,
2.246515101625501,inf,-inf,inf,inf,1,240,240,,,
2.19027695280794,inf,-inf,inf,inf,1,240,240,,,
2.032478774393846,inf,-inf,inf,inf,1,240,240,,,
2.0122525582097355,inf,-inf,inf,inf,1,240,240,,,
2.4854787897788473,inf,-inf,inf,inf,1,240,240,,,
2.1298825710215206,inf,-inf,inf,inf,1,240,240,,,
2.173365288515722,inf,-inf,inf,inf,1,240,240,,,
2.017991924105705,inf,-inf,inf,inf,1,240,240,,,
2.1793815443652598,inf,-inf,inf,inf,1,240,240,,,
2.193901645083998,inf,-inf,inf,inf,1,240,240,,,
2.0474803710213147,inf,-inf,inf,inf,1,240,240,,,
2.0557937744196764,inf,-inf,inf,inf,1,240,240,,,
2.2965759540932438,inf,-inf,inf,inf,1,240,240,,,
2.0783361832334983,inf,-inf,inf,inf,1,240,240,,,
2.0975974382513107,inf,-inf,inf,inf,1,240,240,,,
2.1452311271463387,,,,,0,240,240,,,
2.2248143437707046,inf,-inf,inf,inf,1,240,240,,,
2.0668934147530025,inf,-inf,inf,inf,1,240,240,,,
2.0849532279334415,inf,-inf,inf,inf,1,240,240,,,
2.245612444972636,inf,-inf,inf,inf,1,240,240,,,
2.1053253679099226,inf,-inf,inf,inf,1,240,240,,,
2.1179081675463793,inf,-inf,inf,inf,1,240,240,,,
2.4059832435978006,inf,-inf,inf,inf,1,240,240,,,
2.0951128779197417,inf,-inf,inf,inf,1,240,240,,,
2.0867813715919494,inf,-inf,inf,inf,1,240,240,,,
2.021467035065525,,,,,0,240,240,,,
2.1861907973946666,inf,-inf,inf,inf,1,240,240,,,
2.203581447904429,inf,-inf,inf,inf,1,240,240,,,
2.0717374701877973,inf,-inf,inf,inf,1,240,240,,,
2.147328870813148,inf,-inf,inf,inf,1,240,240,,,
1.8642577129645566,inf,-inf,inf,inf,1,240,240,,,
2.0483081037468365,inf,-inf,inf,inf,1,240,240,,,
2.2074856557406877,inf,-inf,inf,inf,1,240,240,,,
2.1908262046151137,inf,-inf,inf,inf,1,240,240,,,
2.0291693204277155,inf,-inf,inf,inf,1,240,240,,,
2.1007924315581894,inf,-inf,inf,inf,1,240,240,,,
2.1254674374969347,,,,,0,240,240,,,
2.046594336024684,inf,-inf,inf,inf,1,240,240,,,
2.145555840937016,,,,,0,240,240,,,
2.1531930898488136,inf,-inf,inf,inf,1,240,240,,,
1.9955479706847536,inf,-inf,inf,inf,1,240,240,,,
1.9940353545657423,inf,-inf,inf,inf,1,240,240,,,
2.0949959730211223,,,,,0,240,240,,,
2.0235185926542356,inf,-inf,inf,inf,1,240,240,,,
1.9335552255882746,inf,-inf,inf,inf,1,240,240,,,
2.289351797732575,inf,-inf,inf,inf,1,240,240,,,
2.2174770137020783,inf,-inf,inf,inf,1,240,240,,,
2.103223480605587,inf,-inf,inf,inf,1,240,240,,,
2.247957313585339,inf,-inf,inf,inf,1,240,240,,,
1.9468035741312564,inf,-inf,inf,inf,1,240,240,,,
2.257728435674014,inf,-inf,inf,inf,1,240,240,,,
2.2660915882835804,inf,-inf,inf,inf,1,240,240,,,
2.135225191563044,inf,-inf,inf,inf,1,240,240,,,
2.3402459757794443,inf,-inf,inf,inf,1,240,240,,,
2.2465174026833417,inf,-inf,inf,inf,1,240,240,,,
2.0580838833870256,inf,-inf,inf,inf,1,240,240,,,
2.0940285491649746,inf,-inf,inf,inf,1,240,240,,,
2.064214927705587,inf,-inf,inf,inf,1,240,240,,,
2.0016947721960188,,,,,0,240,240,,,
