scenario,rows,coverage,treatment_effect_hat_mean,bias,rmse,ci_length_mean,n_selected_outcome_controls_mean,n_selected_treatment_controls_mean,outcome_lasso_penalty_mean,treatment_lasso_penalty_mean,standard_error_HC3_mean
large_corr_0_5,500,0.936,2.009762020534193,0.009762020534192678,0.06851663450671187,0.22798267541343664,22.782,23.05,0.4043624632762248,0.1714413832276959,0.05815991447081038
medium_corr_0_2,500,0.94,2.0266965675972988,0.02669656759729857,0.082836053509553,0.2777302371725073,16.41,17.056,0.5541216327252166,0.23412785323963914,0.07085085220014445
medium_corr_0_0,500,0.89,2.0492235767598075,0.04922357675980747,0.08738734714683714,0.27108926503282577,12.376,13.2,0.5637317326442631,0.23830745781493012,0.06915669552378086
medium_corr_0_5,500,0.956,2.0166192838900625,0.0166192838900621,0.08271353097637452,0.28123285785888347,19.106,19.29,0.5543882904549092,0.23383402673535084,0.07174439430449035
large_corr_0_2,500,0.918,2.0147596434386306,0.014759643438630432,0.06957290159366812,0.22735596677245717,20.914,21.658,0.4065302505047862,0.1725237673681478,0.05800003687971103
classical_low_dim,500,0.952,2.0193029448641093,0.01930294486410899,0.07886852410285862,0.284881039868784,7.61,7.702,0.42729486932926547,0.18159664850387752,0.0726750700818712
large_corr_0_0,500,0.908,2.0271834998816445,0.02718349988164471,0.07242785804070831,0.22457178377075912,17.18,18.33,0.41266852841977114,0.17515156721594957,0.05728977306270741
near_p_equals_n,500,0.914,2.0267808845651683,0.026780884565168455,0.08251906755601997,0.2756031216430903,15.282,15.694,0.5424464775489574,0.22946216121548196,0.07030821071637348
p_equals_n,500,0.918,2.0265965081594004,0.0265965081594003,0.08174994620683795,0.2806216272023279,15.848,16.24,0.5465887697572852,0.23128879035320699,0.07158846525136059
