scenario,rows,coverage,treatment_effect_hat_mean,bias,rmse,ci_length_mean,n_selected_outcome_controls_mean,n_selected_treatment_controls_mean,outcome_lasso_penalty_mean,treatment_lasso_penalty_mean,standard_error_HC3_mean
large_corr_0_5,500,0.81,1.9963265499619933,-0.003673450038006714,0.10845035455992152,0.22296278772652925,25.748,25.3,0.19444682317630707,0.08778069522488953,0.056879307345755116
medium_corr_0_2,500,0.772,2.0117215113432545,0.011721511343254281,0.15959254572183063,0.2869338816610966,21.29,21.954,0.2726626644116493,0.11991073999619556,0.07319876383555882
medium_corr_0_0,500,0.662,2.006446392328346,0.0064463923283462595,0.1690723987297884,0.28320436481879363,19.21,18.828,0.2869345695970152,0.1293019310134191,0.07224733899517374
medium_corr_0_5,500,0.792,2.0077612733047663,0.007761273304766421,0.155142421702657,0.28770667236059605,21.512,22.208,0.22812447606419053,0.10031662445454542,0.07339590794269421
large_corr_0_2,500,0.764,1.9931850219618878,-0.00681497803811224,0.12053775265623487,0.22212928394396342,25.89,24.874,0.23276021850269188,0.10568972469063499,0.05666667492262377
classical_low_dim,500,0.932,1.9979780587131593,-0.0020219412868405324,0.07787600223842021,0.2808638784143106,9.662,9.426,0.14700861777975588,0.06701318054209907,0.07165026516551552
large_corr_0_0,500,0.698,1.9992085929792047,-0.000791407020795484,0.13594146286717548,0.22177263333694053,23.156,22.554,0.24410533508513566,0.11000239341354096,0.056575690953062044
near_p_equals_n,500,0.794,1.9977998573847495,-0.0022001426152505857,0.12652095945997968,0.2806994986245865,19.412,19.374,0.2616164397876743,0.11661530768801572,0.07160833077513368
p_equals_n,500,0.786,2.003650334672634,0.0036503346726338482,0.1566335388784172,0.28342781951725493,20.568,20.3,0.26477190644667054,0.11824131354503559,0.07230434379225775
