scenario,rows,coverage,treatment_effect_hat_mean,bias,rmse,ci_length_mean,n_selected_outcome_controls_mean,n_selected_treatment_controls_mean,outcome_lasso_penalty_mean,treatment_lasso_penalty_mean,standard_error_HC3_mean
large_corr_0_5,500,0.798,1.9967960243773,-0.0032039756227001275,0.11598363819350894,0.23754661189855295,29.678,29.446,0.2717087242533689,0.11945442580201102,0.06059973901874987
medium_corr_0_2,500,0.786,2.0018877417458083,0.0018877417458081633,0.1641447990270628,0.29973017253539463,25.454,25.948,0.3519745265770452,0.15597329504676855,0.07646318373695328
medium_corr_0_0,500,0.716,2.0020820598564986,0.002082059856498965,0.1735904192231435,0.299784869757285,27.084,27.27,0.3431063263744671,0.1526722175477708,0.07647713736628572
medium_corr_0_5,500,0.816,2.0023208021679473,0.0023208021679473967,0.1467953279149389,0.2990527537645113,25.552,26.208,0.3056992194184231,0.13533886764123843,0.07629036965051429
large_corr_0_2,500,0.76,2.0016496166311493,0.0016496166311495495,0.12484597901333429,0.2402261913255416,29.04,29.8,0.3182423868212107,0.13749804914803507,0.06128331776002392
classical_low_dim,500,0.938,2.002935235037831,0.002935235037830973,0.08216216868767237,0.2913656320016099,10.488,10.458,0.20246522094285316,0.0902428409784344,0.07432933316628897
large_corr_0_0,500,0.712,2.0030101362062505,0.003010136206250813,0.1308540685376197,0.2395583914366694,30.606,30.878,0.31241660560442336,0.13723826246265453,0.06111295751510622
near_p_equals_n,500,0.792,2.003290125003794,0.003290125003794037,0.13809393745331114,0.2953421621733173,23.616,24.002,0.3427832654218976,0.1525904632862348,0.07534377276902497
p_equals_n,500,0.78,1.9996713888203586,-0.0003286111796413089,0.14988498359438582,0.29979371830225954,24.956,24.978,0.333257609320264,0.14974791353173655,0.07647939468964583
